Student_Ref,Gender,Math,Phys,Eng,ICT,EmSAT_Eng,Target_Uni,Pathway,STEM_Strength,Academic_Readiness
ID_8398,M,71.8,97.5,71.4,84.1,1479.0,AUD,Year 13,84.65,78.025
ID_3294,M,69.5,82.7,74.2,75.8,2198.0,BUiD,Foundation,76.1,75.15
ID_6941,M,74.5,50.0,88.1,71.2,942.0,Uni of Dubai,Foundation,62.25,75.175
ID_9053,F,73.0,102.5,85.8,72.6,1720.0,RIT Dubai,Year 13,87.75,86.775
ID_1165,M,71.0,82.1,84.8,85.9,1608.0,AUS,Year 13,76.55,80.675
ID_6136,F,63.6,58.3,71.0,66.5,1506.0,Birmingham Uni,Foundation,60.95,65.975
ID_3039,M,100.9,43.6,76.9,80.9,1530.0,Middlesex Dubai,Year 13,72.25,74.575
ID_8503,F,70.1,43.8,79.3,75.8,1646.0,UOWD,Foundation,56.949999999999996,68.125
ID_2970,F,87.8,116.8,66.9,85.2,1468.0,Zayed Uni,Foundation,102.3,84.6
ID_9301,F,74.6,44.9,86.4,93.8,1370.0,AUS,Year 13,59.75,73.075
ID_5162,M,38.2,52.8,70.0,89.9,1536.0,ADU,Year 13,45.5,57.75
ID_8076,M,57.4,60.2,71.3,73.3,1169.0,Heriot-Watt,Year 13,58.8,65.05
ID_3535,M,94.2,58.6,59.8,92.9,1374.0,UOWD,Year 13,76.4,68.1
ID_1176,F,88.4,46.9,78.2,63.9,1697.0,Manipal,Foundation,67.65,72.92500000000001
ID_5693,M,63.0,69.0,71.0,84.3,1273.0,Zayed Uni,Year 13,66.0,68.5
ID_3840,M,81.7,67.5,94.4,66.0,1231.0,AUD,Foundation,74.6,84.5
ID_3166,F,77.7,68.6,82.2,86.0,1097.0,ADU,Foundation,73.15,77.67500000000001
ID_9257,F,82.5,78.5,94.0,76.4,1156.0,CUD,Year 13,80.5,87.25
ID_9809,F,86.6,62.6,77.5,77.2,1353.0,Middlesex Dubai,Foundation,74.6,76.05
ID_2917,M,70.4,71.6,76.9,86.5,1291.0,KU,Foundation,71.0,73.95
ID_8673,M,77.7,59.8,83.9,71.7,1565.0,UOWD,Foundation,68.75,76.325
ID_3005,F,64.2,72.3,93.4,75.3,1313.0,RIT Dubai,Year 13,68.25,80.825
ID_6751,F,69.7,58.9,58.9,87.4,1663.0,AUS,Year 13,64.3,61.599999999999994
ID_9573,F,70.4,84.0,92.1,76.7,1358.0,Zayed Uni,Foundation,77.2,84.65
ID_1264,M,71.1,88.2,78.5,92.0,1466.0,AUD,Year 13,79.65,79.075
ID_9648,M,79.6,68.8,85.0,45.6,1569.0,Murdoch,Year 13,74.19999999999999,79.6
ID_8546,M,60.2,28.4,83.9,80.8,1926.0,KU,Year 13,44.3,64.1
ID_7712,M,53.3,97.8,82.4,78.9,1000.0,CUD,Foundation,75.55,78.975
ID_9265,F,66.3,48.1,79.2,79.7,1770.0,UOWD,Foundation,57.2,68.2
ID_2336,M,79.2,52.5,76.9,69.1,1070.0,AUS,Foundation,65.85,71.375
ID_4468,F,60.8,64.3,72.8,53.2,1513.0,UOWD,Year 13,62.55,67.675
ID_1844,F,51.4,66.6,60.4,74.3,1212.0,AUD,Year 13,59.0,59.7
ID_3586,F,74.8,91.8,78.8,75.8,1205.0,KU,Foundation,83.3,81.05
ID_1539,F,67.1,58.6,67.0,90.9,1405.0,Heriot-Watt,Foundation,62.849999999999994,64.925
ID_7723,M,98.5,63.8,71.0,70.2,1056.0,Zayed Uni,Foundation,81.15,76.075
ID_3538,F,42.1,70.3,80.1,59.0,1624.0,Heriot-Watt,Year 13,56.2,68.15
ID_6772,F,62.8,67.9,76.4,70.6,1223.0,Heriot-Watt,Foundation,65.35,70.875
ID_1781,F,75.1,22.0,67.8,75.5,1153.0,Murdoch,Foundation,48.55,58.175
ID_6370,F,68.0,66.5,80.1,76.0,1707.0,KU,Foundation,67.25,73.675
ID_9922,F,87.4,63.0,75.2,86.5,1458.0,UOWD,Foundation,75.2,75.2
ID_7928,F,84.3,70.7,75.6,69.1,976.0,Uni of Dubai,Foundation,77.5,76.55
ID_7247,M,60.3,54.0,75.9,79.9,1143.0,UOWD,Year 13,57.15,66.525
ID_6368,M,89.0,47.7,79.7,88.1,1860.0,Middlesex Dubai,Foundation,68.35,74.025
ID_4344,F,58.8,85.0,68.3,94.7,1337.0,ADU,Year 13,71.9,70.1
ID_4181,F,74.3,70.2,56.8,69.7,941.0,KU,Foundation,72.25,64.525
ID_8413,F,87.6,85.7,86.3,64.9,1297.0,CUD,Year 13,86.65,86.475
ID_8743,F,53.4,60.7,65.4,72.8,1412.0,Manipal,Year 13,57.05,61.225
ID_8357,M,67.6,53.8,72.9,57.8,1199.0,Manipal,Foundation,60.699999999999996,66.8
ID_3539,F,84.5,97.3,93.9,72.5,1389.0,UOWD,Year 13,90.9,92.4
ID_3288,M,70.4,75.9,75.1,72.8,1373.0,Middlesex Dubai,Foundation,73.15,74.125
ID_7120,F,68.7,57.6,57.0,73.7,1377.0,Uni of Dubai,Foundation,63.150000000000006,60.075
ID_1264,F,73.4,88.5,78.7,76.7,1512.0,Amity,Year 13,80.95,79.825
ID_8341,M,46.4,42.5,76.8,63.8,1793.0,UOWD,Foundation,44.45,60.625
ID_1613,M,73.8,29.0,69.6,68.5,1245.0,CUD,Year 13,51.4,60.5
ID_8980,M,67.5,55.6,75.6,83.9,1640.0,UOWD,Foundation,61.55,68.57499999999999
ID_4537,F,42.6,106.5,65.8,47.6,1328.0,AUS,Foundation,74.55,70.175
ID_3398,F,86.5,104.2,70.5,62.7,1392.0,Murdoch,Year 13,95.35,82.925
ID_2319,M,61.5,70.1,79.7,91.0,1424.0,Zayed Uni,Foundation,65.8,72.75
ID_6172,F,74.6,57.2,68.3,88.5,1369.0,BUiD,Year 13,65.9,67.1
ID_6985,F,52.4,87.5,74.5,56.7,1715.0,Manipal,Year 13,69.95,72.225
ID_5161,F,56.4,51.9,77.4,49.0,2079.0,Birmingham Uni,Foundation,54.15,65.775
ID_3117,F,66.0,63.9,77.9,84.3,1561.0,AUS,Foundation,64.95,71.42500000000001
ID_3540,F,78.3,66.8,86.7,75.5,1366.0,AUD,Foundation,72.55,79.625
ID_6047,M,85.1,78.1,76.9,77.8,1303.0,Heriot-Watt,Foundation,81.6,79.25
ID_8956,F,86.9,84.0,70.9,69.0,1686.0,Uni of Dubai,Year 13,85.45,78.17500000000001
ID_7447,M,62.0,84.1,80.1,86.7,1529.0,AUD,Year 13,73.05,76.57499999999999
ID_7092,F,60.4,73.6,82.0,92.2,1546.0,UOWD,Year 13,67.0,74.5
ID_6989,F,76.7,64.5,66.2,76.0,1214.0,BUiD,Foundation,70.6,68.4
ID_6044,F,59.9,62.1,76.1,76.4,1408.0,UOWD,Year 13,61.0,68.55
ID_3186,F,79.1,65.0,66.8,85.9,1634.0,Uni of Dubai,Year 13,72.05,69.425
ID_3033,M,45.9,49.7,83.7,70.4,1361.0,Murdoch,Year 13,47.8,65.75
ID_1951,M,80.5,59.7,55.0,85.6,1090.0,Middlesex Dubai,Foundation,70.1,62.55
ID_5261,F,70.9,70.5,66.5,82.0,1402.0,Middlesex Dubai,Foundation,70.7,68.6
ID_7648,M,85.1,101.0,87.4,80.5,1277.0,RIT Dubai,Foundation,93.05,90.225
ID_9996,F,82.1,45.5,77.4,94.4,1111.0,BUiD,Year 13,63.8,70.6
ID_6569,M,71.0,64.5,57.3,69.7,1298.0,Middlesex Dubai,Foundation,67.75,62.525
ID_1568,M,62.1,68.0,68.7,78.2,1639.0,Middlesex Dubai,Foundation,65.05,66.875
ID_1601,F,54.5,81.5,66.3,70.1,1324.0,UOWD,Year 13,68.0,67.15
ID_9923,M,49.8,48.6,85.3,70.0,1360.0,KU,Year 13,49.2,67.25
ID_4844,M,84.2,72.8,74.0,81.2,1254.0,Amity,Year 13,78.5,76.25
ID_4090,F,33.4,62.3,80.2,68.2,1448.0,ADU,Foundation,47.849999999999994,64.025
ID_2788,F,71.0,66.8,77.0,70.6,1321.0,Manipal,Year 13,68.9,72.95
ID_9619,F,70.4,89.1,79.1,76.5,692.0,ADU,Foundation,79.75,79.425
ID_4163,M,70.3,54.0,62.8,71.9,1363.0,Middlesex Dubai,Year 13,62.15,62.474999999999994
ID_9819,F,63.2,94.0,71.0,83.8,1307.0,ADU,Foundation,78.6,74.8
ID_5499,M,101.6,78.4,64.3,59.4,1604.0,Birmingham Uni,Foundation,90.0,77.15
ID_4059,F,75.6,47.0,85.8,61.6,1787.0,AUS,Year 13,61.3,73.55
ID_9017,M,58.6,58.4,81.0,71.5,1359.0,Heriot-Watt,Foundation,58.5,69.75
ID_2556,M,70.6,45.0,59.7,64.4,1345.0,AUD,Foundation,57.8,58.75
ID_2882,M,30.4,113.3,82.8,77.8,1334.0,Amity,Year 13,71.85,77.32499999999999
ID_9712,F,70.3,75.9,85.5,69.3,1430.0,Middlesex Dubai,Year 13,73.1,79.3
ID_3293,F,93.2,78.5,80.9,73.8,1257.0,Uni of Dubai,Foundation,85.85,83.375
ID_7810,F,71.5,96.0,84.9,61.8,1568.0,KU,Year 13,83.75,84.325
ID_8512,F,80.2,33.0,66.7,76.8,989.0,RIT Dubai,Foundation,56.6,61.650000000000006
ID_3099,M,67.4,98.2,80.4,78.6,1349.0,AUS,Foundation,82.80000000000001,81.60000000000001
ID_1222,M,60.2,57.5,71.8,93.4,1539.0,Murdoch,Foundation,58.85,65.325
ID_4098,M,53.3,69.9,62.0,96.9,1107.0,AUS,Foundation,61.6,61.8
ID_3807,F,82.7,60.3,79.7,89.8,1381.0,UOWD,Foundation,71.5,75.6
ID_3716,F,65.2,68.0,64.1,76.1,1409.0,Heriot-Watt,Year 13,66.6,65.35
ID_4234,F,78.8,105.5,75.1,75.7,1311.0,KU,Foundation,92.15,83.625
ID_8286,F,67.3,92.5,69.4,77.0,1350.0,UOWD,Foundation,79.9,74.65
ID_7422,M,51.5,56.4,80.9,58.8,1516.0,Amity,Foundation,53.95,67.42500000000001
ID_9344,F,100.4,37.7,76.6,78.5,1537.0,UOWD,Foundation,69.05000000000001,72.825
ID_5467,M,61.3,73.5,75.2,70.3,1522.0,CUD,Year 13,67.4,71.30000000000001
ID_4823,F,97.1,61.2,88.9,92.1,1458.0,Uni of Dubai,Foundation,79.15,84.025
ID_3054,F,52.0,58.7,75.0,63.0,1551.0,Birmingham Uni,Year 13,55.35,65.175
ID_8279,F,83.2,56.0,73.5,67.5,1395.0,CUD,Foundation,69.6,71.55
ID_5567,F,62.7,57.8,68.5,86.9,1355.0,AUS,Foundation,60.25,64.375
ID_3650,F,60.3,91.4,77.5,79.8,1425.0,Amity,Foundation,75.85,76.675
ID_4961,M,78.8,51.3,82.9,54.4,1623.0,AUS,Year 13,65.05,73.975
ID_7418,F,51.8,79.6,59.7,78.4,1453.0,Manipal,Foundation,65.69999999999999,62.699999999999996
ID_7420,F,67.2,67.1,80.8,101.7,1009.0,UOWD,Foundation,67.15,73.975
ID_5851,M,94.3,67.1,82.8,74.5,1753.0,AUS,Year 13,80.69999999999999,81.75
ID_7253,F,63.9,36.0,74.9,63.0,1491.0,KU,Foundation,49.95,62.425000000000004
ID_1265,M,83.3,56.6,75.1,86.5,1716.0,Middlesex Dubai,Year 13,69.95,72.525
ID_7250,M,64.5,89.7,64.3,86.2,1698.0,Uni of Dubai,Foundation,77.1,70.69999999999999
ID_5833,F,43.3,71.4,81.9,47.3,1217.0,AUD,Year 13,57.35,69.625
ID_4637,M,54.7,78.6,63.5,86.0,1516.0,Birmingham Uni,Year 13,66.65,65.075
ID_2335,F,44.1,51.4,83.6,85.0,1285.0,KU,Foundation,47.75,65.675
ID_8100,F,53.0,53.0,89.2,98.9,1645.0,CUD,Foundation,53.0,71.1
ID_5448,F,71.3,48.8,79.8,71.2,1542.0,UOWD,Foundation,60.05,69.925
ID_9875,F,70.4,78.0,60.0,90.6,1150.0,UOWD,Foundation,74.2,67.1
ID_7268,F,64.2,70.0,51.9,79.9,1670.0,Amity,Year 13,67.1,59.5
ID_8698,F,84.9,69.6,80.0,86.0,1505.0,AUD,Foundation,77.25,78.625
ID_8408,F,82.6,52.7,62.0,63.3,1665.0,CUD,Foundation,67.65,64.825
ID_8008,M,84.1,64.9,81.7,64.9,1303.0,Zayed Uni,Foundation,74.5,78.1
ID_5101,F,80.4,82.0,74.4,83.5,1594.0,UOWD,Year 13,81.2,77.80000000000001
ID_4114,F,55.0,75.0,75.5,78.1,1235.0,Heriot-Watt,Year 13,65.0,70.25
ID_9001,M,80.5,73.4,77.4,94.6,1151.0,AUD,Year 13,76.95,77.17500000000001
ID_6232,F,65.8,55.4,66.4,86.3,1302.0,Uni of Dubai,Year 13,60.599999999999994,63.5
ID_5861,F,85.9,77.3,86.1,101.2,1417.0,Middlesex Dubai,Year 13,81.6,83.85
ID_3927,F,60.4,44.4,61.5,59.7,1678.0,AUS,Foundation,52.4,56.95
ID_1316,F,60.6,95.7,68.0,89.2,1853.0,KU,Foundation,78.15,73.075
ID_2976,F,60.1,61.9,69.5,79.9,1525.0,Manipal,Year 13,61.0,65.25
ID_3341,M,86.8,94.0,90.2,72.1,1326.0,UOWD,Foundation,90.4,90.30000000000001
ID_5381,F,62.1,71.9,74.5,78.4,1210.0,Middlesex Dubai,Year 13,67.0,70.75
ID_4177,M,66.5,46.5,68.6,98.4,1123.0,ADU,Year 13,56.5,62.55
ID_6041,F,45.1,63.3,60.5,66.9,1149.0,Birmingham Uni,Foundation,54.2,57.35
ID_7343,M,73.1,66.4,74.2,80.2,1449.0,Manipal,Year 13,69.75,71.975
ID_9096,F,57.8,39.0,83.3,87.7,1113.0,BUiD,Foundation,48.4,65.85
ID_2114,M,82.3,95.8,81.6,59.6,1346.0,Zayed Uni,Foundation,89.05,85.32499999999999
ID_6810,F,74.2,85.9,86.7,75.2,1389.0,Birmingham Uni,Year 13,80.05000000000001,83.375
ID_5880,M,47.0,75.3,73.9,84.0,1304.0,Uni of Dubai,Foundation,61.15,67.525
ID_7118,M,76.3,64.5,73.3,80.7,1308.0,Uni of Dubai,Year 13,70.4,71.85
ID_2014,F,68.0,81.5,91.8,72.1,1404.0,Amity,Year 13,74.75,83.275
ID_9722,F,68.7,39.2,81.9,72.0,1466.0,UOWD,Foundation,53.95,67.92500000000001
ID_4266,F,74.4,60.3,68.0,67.6,1826.0,AUS,Foundation,67.35,67.675
ID_6483,F,65.5,53.4,77.4,84.0,1518.0,Uni of Dubai,Year 13,59.45,68.42500000000001
ID_7863,M,71.1,79.9,89.2,86.2,1439.0,Manipal,Year 13,75.5,82.35
ID_4384,F,95.7,78.7,72.9,90.9,1991.0,KU,Year 13,87.2,80.05000000000001
ID_3001,M,58.2,37.4,86.1,85.7,1935.0,Birmingham Uni,Year 13,47.8,66.94999999999999
ID_3506,F,58.7,52.9,92.2,101.9,1208.0,UOWD,Year 13,55.8,74.0
ID_4709,F,61.8,82.2,68.1,78.0,1598.0,KU,Foundation,72.0,70.05
ID_7711,F,69.8,55.1,89.4,62.9,1603.0,KU,Foundation,62.45,75.92500000000001
ID_1598,M,65.8,59.4,80.4,65.5,1434.0,Zayed Uni,Year 13,62.599999999999994,71.5
ID_4908,F,72.5,58.4,68.9,65.0,1194.0,Manipal,Foundation,65.45,67.17500000000001
ID_8694,F,114.2,89.9,85.5,72.4,1233.0,Heriot-Watt,Foundation,102.05000000000001,93.775
ID_8444,F,85.1,62.5,78.3,79.0,845.0,AUS,Foundation,73.8,76.05
ID_7691,M,66.6,48.0,61.0,78.2,1504.0,AUS,Year 13,57.3,59.15
ID_2236,F,82.7,73.4,81.1,102.7,1117.0,Birmingham Uni,Year 13,78.05000000000001,79.575
ID_8698,F,77.1,46.5,64.6,86.9,1428.0,Murdoch,Year 13,61.8,63.199999999999996
ID_1585,F,96.2,50.8,62.4,75.4,1323.0,AUD,Foundation,73.5,67.95
ID_1766,F,106.4,73.7,73.5,70.9,1216.0,UOWD,Year 13,90.05000000000001,81.775
ID_7351,F,59.5,85.4,95.9,59.0,930.0,ADU,Foundation,72.45,84.17500000000001
ID_2426,M,98.1,72.8,75.0,62.4,1654.0,Heriot-Watt,Foundation,85.44999999999999,80.225
ID_5706,F,66.4,44.7,75.9,66.9,1464.0,UOWD,Year 13,55.550000000000004,65.72500000000001
ID_3875,F,56.6,56.8,70.3,62.6,1367.0,Zayed Uni,Foundation,56.7,63.5
ID_2309,M,72.7,59.0,74.5,109.4,1122.0,Amity,Year 13,65.85,70.175
ID_3889,F,92.0,84.9,87.4,79.6,1490.0,KU,Year 13,88.45,87.92500000000001
ID_8400,M,75.1,86.9,68.7,62.2,1349.0,Heriot-Watt,Foundation,81.0,74.85
ID_1208,F,58.0,63.7,72.2,89.3,1524.0,Birmingham Uni,Year 13,60.85,66.525
ID_6579,M,70.7,52.9,77.1,92.4,1277.0,UOWD,Foundation,61.8,69.44999999999999
ID_1975,M,41.9,77.4,62.5,60.3,1353.0,UOWD,Foundation,59.650000000000006,61.075
ID_9681,M,60.7,82.9,87.7,85.8,1116.0,Murdoch,Year 13,71.80000000000001,79.75
ID_7088,M,67.0,64.9,77.7,96.2,1749.0,KU,Foundation,65.95,71.825
ID_5540,M,76.2,66.7,89.1,82.9,1185.0,KU,Year 13,71.45,80.275
ID_2629,M,91.1,79.0,76.5,76.6,1489.0,UOWD,Year 13,85.05,80.775
ID_2967,M,73.3,99.0,85.7,80.3,1635.0,Murdoch,Year 13,86.15,85.92500000000001
ID_2549,F,54.5,73.0,65.1,89.2,1242.0,AUS,Year 13,63.75,64.425
ID_4569,F,54.9,57.6,60.9,78.2,1626.0,AUS,Foundation,56.25,58.575
ID_2488,M,56.4,95.4,86.1,85.2,1632.0,ADU,Year 13,75.9,81.0
ID_2949,F,53.5,68.4,80.5,63.9,1176.0,CUD,Year 13,60.95,70.725
ID_2501,F,79.0,46.0,59.7,85.4,1661.0,Middlesex Dubai,Year 13,62.5,61.1
ID_8776,F,78.1,51.1,80.8,81.1,1265.0,UOWD,Foundation,64.6,72.69999999999999
ID_9233,F,70.4,25.7,71.7,83.9,1265.0,UOWD,Foundation,48.050000000000004,59.875
ID_5187,F,71.0,78.6,72.0,74.0,1583.0,AUS,Foundation,74.8,73.4
ID_8660,M,75.0,71.3,67.9,79.5,1690.0,Middlesex Dubai,Year 13,73.15,70.525
ID_3425,F,57.8,44.7,72.6,77.5,1366.0,Zayed Uni,Foundation,51.25,61.925
ID_9383,F,75.0,93.6,63.0,86.3,1734.0,AUS,Foundation,84.3,73.65
ID_9229,M,70.4,72.7,85.9,102.1,1656.0,BUiD,Year 13,71.55000000000001,78.72500000000001
ID_8046,F,73.7,85.9,92.7,72.1,1061.0,RIT Dubai,Foundation,79.80000000000001,86.25
ID_6646,F,61.7,72.4,54.0,85.5,1621.0,AUS,Foundation,67.05000000000001,60.525000000000006
ID_5732,M,61.1,67.5,86.9,92.1,1540.0,Birmingham Uni,Foundation,64.3,75.6
ID_5805,M,67.6,104.3,75.0,90.1,1735.0,RIT Dubai,Year 13,85.94999999999999,80.475
ID_8645,M,58.9,55.3,62.9,82.5,1301.0,Middlesex Dubai,Foundation,57.099999999999994,60.0
ID_2771,F,97.3,58.3,78.4,96.6,1613.0,CUD,Year 13,77.8,78.1
ID_7896,F,76.2,74.3,65.2,114.7,1124.0,ADU,Foundation,75.25,70.225
ID_6217,F,65.3,72.7,73.0,99.1,1793.0,UOWD,Foundation,69.0,71.0
ID_4133,F,70.4,62.0,66.9,76.2,1633.0,KU,Foundation,66.2,66.55000000000001
ID_5750,F,73.9,42.4,81.2,85.6,1199.0,Heriot-Watt,Year 13,58.150000000000006,69.67500000000001
ID_5212,F,83.4,52.4,77.9,78.9,1698.0,Murdoch,Year 13,67.9,72.9
ID_2043,M,68.2,54.7,73.0,75.5,1213.0,AUS,Foundation,61.45,67.225
ID_8382,M,67.3,34.0,58.0,72.4,1247.0,KU,Foundation,50.65,54.325
ID_2815,F,85.8,55.3,71.5,68.8,1076.0,CUD,Foundation,70.55,71.025
ID_8411,M,63.2,68.6,71.2,82.0,1620.0,ADU,Year 13,65.9,68.55000000000001
ID_4198,F,64.3,64.4,66.5,84.9,954.0,AUD,Foundation,64.35,65.425
ID_2771,F,64.6,71.0,63.3,78.2,1043.0,Amity,Foundation,67.8,65.55
ID_7758,M,81.7,63.4,66.7,89.0,1263.0,Manipal,Foundation,72.55,69.625
ID_3003,M,68.2,52.3,80.4,97.7,1682.0,CUD,Year 13,60.25,70.325
ID_5676,F,80.2,72.9,55.7,74.7,1611.0,CUD,Year 13,76.55000000000001,66.125
ID_9991,F,69.3,36.9,41.8,60.4,1294.0,AUD,Foundation,53.099999999999994,47.449999999999996
ID_8680,M,85.5,30.9,65.8,96.8,1332.0,KU,Year 13,58.2,62.0
ID_2387,M,66.3,59.0,77.6,62.9,1312.0,CUD,Foundation,62.65,70.125
ID_7594,F,110.3,70.9,59.8,95.7,1108.0,AUS,Year 13,90.6,75.19999999999999
ID_1430,F,73.3,43.1,65.9,69.4,1510.0,Amity,Year 13,58.2,62.050000000000004
ID_2325,F,63.5,42.9,77.2,92.6,1272.0,UOWD,Foundation,53.2,65.2
ID_5617,F,59.2,60.4,79.0,83.6,1530.0,Birmingham Uni,Year 13,59.8,69.4
ID_3097,F,55.3,73.2,71.9,67.9,1178.0,UOWD,Foundation,64.25,68.075
ID_5904,F,78.0,89.6,73.6,63.8,1221.0,Birmingham Uni,Foundation,83.8,78.69999999999999
ID_6499,F,66.1,46.3,68.3,81.5,1353.0,UOWD,Foundation,56.199999999999996,62.25
ID_9871,F,36.4,22.6,74.6,63.4,1885.0,Birmingham Uni,Foundation,29.5,52.05
ID_8866,F,49.0,54.5,88.9,73.4,1496.0,Uni of Dubai,Foundation,51.75,70.325
ID_4822,M,72.1,22.4,75.2,88.6,1237.0,Manipal,Foundation,47.25,61.225
ID_7553,F,70.4,23.3,92.2,74.6,1472.0,Zayed Uni,Foundation,46.85,69.525
ID_1404,M,69.3,56.5,77.5,67.3,1196.0,AUS,Foundation,62.9,70.2
ID_9640,F,61.8,56.0,87.6,71.6,1490.0,KU,Foundation,58.9,73.25
ID_1494,M,59.0,80.2,82.4,79.4,1240.0,Heriot-Watt,Year 13,69.6,76.0
ID_7107,F,70.4,67.0,88.0,69.4,1586.0,Manipal,Foundation,68.7,78.35
ID_9557,F,67.1,63.7,80.1,80.4,1574.0,AUS,Foundation,65.4,72.75
ID_1502,M,48.1,82.4,70.4,67.3,1639.0,Birmingham Uni,Foundation,65.25,67.825
ID_3150,M,83.1,94.5,64.1,62.6,1373.0,AUS,Foundation,88.8,76.44999999999999
ID_6004,F,58.0,84.9,70.3,85.7,1352.0,ADU,Year 13,71.45,70.875
ID_2367,F,74.9,42.0,74.4,83.8,988.0,Uni of Dubai,Foundation,58.45,66.42500000000001
ID_4340,F,70.1,89.1,82.8,83.6,1780.0,Birmingham Uni,Year 13,79.6,81.19999999999999
ID_2137,M,55.8,99.9,72.3,85.1,1124.0,Heriot-Watt,Foundation,77.85,75.07499999999999
ID_7795,F,83.9,54.4,64.4,92.7,1335.0,Heriot-Watt,Year 13,69.15,66.775
ID_5251,F,75.3,53.6,74.4,55.8,1595.0,Manipal,Foundation,64.45,69.42500000000001
ID_4696,F,45.6,83.2,76.1,93.2,1188.0,BUiD,Foundation,64.4,70.25
ID_4392,M,78.2,69.0,94.1,87.7,1346.0,KU,Foundation,73.6,83.85
ID_6192,M,82.9,62.5,75.9,64.4,2003.0,Heriot-Watt,Foundation,72.7,74.30000000000001
ID_7196,F,70.4,77.0,79.2,103.0,964.0,Birmingham Uni,Foundation,73.7,76.45
ID_5957,M,78.7,26.8,66.4,73.0,1872.0,RIT Dubai,Foundation,52.75,59.575
ID_5911,F,78.3,38.3,56.3,90.3,1507.0,CUD,Foundation,58.3,57.3
ID_3740,M,76.5,39.3,61.0,71.0,1660.0,Birmingham Uni,Foundation,57.9,59.45
ID_7766,M,47.2,8.4,69.4,62.4,1521.0,ADU,Foundation,27.8,48.6
ID_8189,M,76.9,27.6,71.1,80.3,1512.0,CUD,Year 13,52.25,61.675
ID_7110,M,62.4,65.7,63.5,74.3,1440.0,Uni of Dubai,Year 13,64.05,63.775
ID_9776,M,70.8,58.1,76.7,66.4,1348.0,UOWD,Foundation,64.45,70.575
ID_8447,M,79.2,68.1,72.8,70.4,854.0,Amity,Foundation,73.65,73.225
ID_9209,M,87.2,73.5,87.0,61.5,1223.0,AUD,Foundation,80.35,83.675
ID_8281,F,65.7,49.3,86.6,93.4,1359.0,Zayed Uni,Foundation,57.5,72.05
ID_3536,F,59.8,71.3,71.7,76.9,1268.0,KU,Foundation,65.55,68.625
ID_2205,F,47.3,71.4,78.5,74.9,1743.0,KU,Year 13,59.35,68.925
ID_8459,F,91.4,69.0,91.3,69.2,1855.0,UOWD,Year 13,80.2,85.75
ID_4767,M,81.6,76.1,76.5,93.1,1342.0,UOWD,Year 13,78.85,77.675
ID_5929,F,87.5,61.3,78.1,77.3,1705.0,UOWD,Year 13,74.4,76.25
ID_4991,F,40.7,67.9,72.7,77.0,1777.0,Heriot-Watt,Year 13,54.300000000000004,63.5
ID_2034,F,59.6,85.8,80.8,76.4,1545.0,UOWD,Foundation,72.7,76.75
ID_1948,F,59.4,82.1,75.7,74.0,1721.0,UOWD,Foundation,70.75,73.225
ID_1679,F,86.3,39.1,80.7,83.4,933.0,ADU,Foundation,62.7,71.7
ID_6224,F,52.6,59.3,90.0,72.3,1190.0,UOWD,Year 13,55.95,72.975
ID_3441,F,70.4,86.0,91.6,72.2,1247.0,KU,Year 13,78.2,84.9
ID_5179,M,77.4,57.8,69.1,76.7,1421.0,Uni of Dubai,Year 13,67.6,68.35
ID_9809,M,62.2,66.5,70.9,76.9,1391.0,UOWD,Year 13,64.35,67.625
ID_5404,F,44.0,94.9,57.7,82.1,1145.0,BUiD,Year 13,69.45,63.575
ID_1635,M,84.0,81.9,53.7,76.8,1249.0,Uni of Dubai,Foundation,82.95,68.325
ID_3581,F,76.5,74.4,81.4,71.4,904.0,Manipal,Foundation,75.45,78.42500000000001
ID_9365,F,60.8,6.9,71.3,65.5,992.0,Zayed Uni,Foundation,33.85,52.575
ID_2130,F,51.4,67.2,81.1,86.6,1357.0,Manipal,Foundation,59.3,70.19999999999999
ID_2091,F,67.5,41.9,57.5,73.3,1440.0,KU,Foundation,54.7,56.1
ID_6483,F,68.6,56.7,80.3,64.3,1531.0,Zayed Uni,Year 13,62.65,71.475
ID_1251,F,65.1,45.0,67.5,60.4,1275.0,UOWD,Foundation,55.05,61.275
ID_5195,M,84.6,75.3,71.2,92.2,1520.0,ADU,Foundation,79.94999999999999,75.57499999999999
ID_9970,F,59.6,41.1,83.9,88.7,1857.0,UOWD,Foundation,50.35,67.125
ID_3242,F,63.9,79.2,61.9,99.2,941.0,Zayed Uni,Foundation,71.55,66.725
ID_4244,F,58.2,57.6,79.4,80.2,1506.0,AUD,Year 13,57.900000000000006,68.65
ID_2993,F,73.3,90.6,81.6,69.3,1547.0,Manipal,Foundation,81.94999999999999,81.77499999999999
ID_7264,M,64.1,83.0,79.5,92.2,1105.0,UOWD,Year 13,73.55,76.525
ID_3469,F,95.0,95.5,57.8,99.9,1629.0,UOWD,Year 13,95.25,76.525
ID_7289,F,58.5,44.0,82.6,94.4,1574.0,AUS,Year 13,51.25,66.925
ID_1220,F,74.3,45.2,72.1,52.6,1348.0,Zayed Uni,Year 13,59.75,65.925
ID_3537,M,78.0,43.6,94.1,62.6,1447.0,Manipal,Year 13,60.8,77.44999999999999
ID_7557,F,85.1,39.9,91.2,101.4,1207.0,UOWD,Foundation,62.5,76.85
ID_3509,M,70.0,31.6,85.6,75.9,1593.0,BUiD,Year 13,50.8,68.19999999999999
